sender_account,receiver_account,amount,type,merchant_category,device,country,is_suspicious,pattern,transaction_id,timestamp,hour,day,is_high_risk_country,log_amount
ACCT100175,ACCT200197,65.29,transfer,gambling,web,NG,True,structuring,TXN000025,2025-02-04T04:33:00,4,Tuesday,True,4.178838885198542
ACCT100184,ACCT200451,79.68,withdrawal,electronics,atm,IN,True,structuring,TXN000026,2025-03-29T12:53:00,12,Saturday,False,4.378018613276343
ACCT100409,ACCT200008,48.45,withdrawal,restaurant,atm,CN,False,normal,TXN000027,2025-02-21T20:53:00,20,Friday,False,3.880532338336775
ACCT100274,ACCT200299,75.77,deposit,crypto_exchange,pos_terminal,CN,True,rapid_movement,TXN000028,2025-02-21T15:06:00,15,Friday,False,4.327702435943282
ACCT100015,ACCT200369,14.59,payment,online_services,atm,KY,True,normal,TXN000029,2025-03-08T09:27:00,9,Saturday,True,2.6803363625346943
ACCT100128,ACCT200044,70.33,payment,gambling,mobile_app,CN,True,structuring,TXN000030,2025-03-01T23:29:00,23,Saturday,False,4.2531984503199265
ACCT100051,ACCT200173,5.97,withdrawal,retail,pos_terminal,IR,True,normal,TXN000031,2025-01-14T10:40:00,10,Tuesday,True,1.7867469274045107
ACCT100201,ACCT200426,17.01,transfer,crypto_exchange,web,IR,True,normal,TXN000032,2025-01-06T19:21:00,19,Monday,True,2.8338014064077703
ACCT100267,ACCT200417,24.32,transfer,travel,web,CN,False,normal,TXN000033,2025-03-03T01:40:00,1,Monday,False,3.1912990570979662
ACCT100185,ACCT200349,44.54,deposit,online_services,mobile_app,SG,True,structuring,TXN000034,2025-03-26T08:52:00,8,Wednesday,False,3.7963876618292214
ACCT100416,ACCT200357,26.26,deposit,atm,pos_terminal,US,True,structuring,TXN000035,2025-01-25T18:02:00,18,Saturday,False,3.26804686887465
ACCT100231,ACCT200124,99.26,withdrawal,travel,atm,NG,True,normal,TXN000036,2025-02-27T16:20:00,16,Thursday,True,4.5977426701592945
ACCT100499,ACCT200049,43.39,deposit,online_services,web,AE,True,layering,TXN000037,2025-03-05T22:53:00,22,Wednesday,False,3.7702289998102594
ACCT100068,ACCT200068,7.74,payment,crypto_exchange,pos_terminal,CN,False,normal,TXN000038,2025-01-22T09:08:00,9,Wednesday,False,2.046401687601636
ACCT100245,ACCT200042,29.61,transfer,restaurant,mobile_app,CN,False,normal,TXN000039,2025-01-13T00:43:00,0,Monday,False,3.3881121421135
ACCT100301,ACCT200221,35.78,transfer,retail,pos_terminal,KY,True,normal,TXN000040,2025-01-19T15:46:00,15,Sunday,True,3.5773890780805733
ACCT100392,ACCT200123,6.88,deposit,retail,pos_terminal,IN,False,normal,TXN000041,2025-02-26T02:29:00,2,Wednesday,False,1.9286186519452522
ACCT100079,ACCT200009,137.68,transfer,gambling,web,AE,False,normal,TXN000042,2025-02-06T08:18:00,8,Thursday,False,4.924932151903284
ACCT100157,ACCT200418,22.31,transfer,gambling,mobile_app,AE,True,layering,TXN000043,2025-02-14T11:18:00,11,Friday,False,3.105035008444441
ACCT100096,ACCT200114,15.04,withdrawal,retail,web,CN,True,mule_account,TXN000044,2025-03-03T10:43:00,10,Monday,False,2.7107133185216936
ACCT100376,ACCT200105,39.72,payment,electronics,atm,RU,True,normal,TXN000045,2025-02-05T13:41:00,13,Wednesday,True,3.681854839176972
ACCT100105,ACCT200420,37.7,withdrawal,electronics,pos_terminal,NG,True,normal,TXN000046,2025-03-20T10:14:00,10,Thursday,True,3.629660094453965
ACCT100292,ACCT200396,71.09,deposit,atm,web,KY,True,rapid_movement,TXN000047,2025-02-25T05:13:00,5,Tuesday,True,4.263946679941392
ACCT100281,ACCT200050,32.8,deposit,retail,mobile_app,CN,True,layering,TXN000048,2025-01-19T10:44:00,10,Sunday,False,3.490428515390098
ACCT100107,ACCT200467,19.49,payment,crypto_exchange,atm,IR,True,normal,TXN000049,2025-03-24T04:01:00,4,Monday,True,2.9699015135194693
ACCT100223,ACCT200275,187.01,transfer,crypto_exchange,web,IN,False,normal,TXN000050,2025-02-11T05:35:00,5,Tuesday,False,5.231162091360629
ACCT100194,ACCT200225,7.15,payment,online_services,atm,IR,True,normal,TXN000051,2025-03-09T05:56:00,5,Sunday,True,1.9671123567059163
ACCT100166,ACCT200440,11.25,deposit,gambling,web,NG,True,normal,TXN000052,2025-03-01T03:38:00,3,Saturday,True,2.4203681286504293
ACCT100190,ACCT200088,3.47,withdrawal,online_services,pos_terminal,SG,False,normal,TXN000053,2025-03-12T07:30:00,7,Wednesday,False,1.244154593958768
ACCT100277,ACCT200034,3.26,transfer,restaurant,web,UK,False,normal,TXN000054,2025-03-18T13:29:00,13,Tuesday,False,1.1817271953786161
ACCT100299,ACCT200304,52.59,withdrawal,atm,web,CN,False,normal,TXN000055,2025-02-28T12:58:00,12,Friday,False,3.962525987601253
ACCT100144,ACCT200137,17.64,payment,gambling,mobile_app,KY,True,normal,TXN000056,2025-01-05T04:11:00,4,Sunday,True,2.8701690505786455
ACCT100306,ACCT200029,23.28,withdrawal,electronics,mobile_app,RU,True,layering,TXN000057,2025-01-22T00:23:00,0,Wednesday,True,3.147594622863237
ACCT100060,ACCT200355,61.34,withdrawal,electronics,mobile_app,AE,False,normal,TXN000058,2025-03-07T04:04:00,4,Friday,False,4.116432158686106
ACCT100103,ACCT200118,17.72,payment,online_services,web,RU,True,round_tripping,TXN000059,2025-03-13T18:08:00,18,Thursday,True,2.8746939451769347
ACCT100357,ACCT200036,22.45,deposit,atm,web,US,False,normal,TXN000060,2025-02-24T14:18:00,14,Monday,False,3.1112906141882632
ACCT100047,ACCT200253,72.03,transfer,online_services,mobile_app,IR,True,round_tripping,TXN000061,2025-01-03T21:40:00,21,Friday,True,4.277082698901271
ACCT100135,ACCT200397,10.11,payment,crypto_exchange,pos_terminal,IN,False,normal,TXN000062,2025-01-18T07:27:00,7,Saturday,False,2.3135250330323798
ACCT100206,ACCT200107,35.36,payment,atm,web,US,False,normal,TXN000063,2025-03-04T14:02:00,14,Tuesday,False,3.5655812377694427
ACCT100275,ACCT200407,5.48,transfer,online_services,pos_terminal,US,False,normal,TXN000064,2025-01-16T14:08:00,14,Thursday,False,1.7011051009599243
ACCT100243,ACCT200429,37.56,withdrawal,restaurant,mobile_app,CN,False,normal,TXN000065,2025-03-01T12:53:00,12,Saturday,False,3.6259396543400624
ACCT100395,ACCT200132,145.33,payment,electronics,web,KY,True,normal,TXN000066,2025-02-22T07:47:00,7,Saturday,True,4.979007018638079
ACCT100002,ACCT200166,14.56,withdrawal,crypto_exchange,mobile_app,IR,True,normal,TXN000067,2025-02-04T11:35:00,11,Tuesday,True,2.67827804276854
ACCT100156,ACCT200486,13.89,payment,travel,pos_terminal,RU,True,normal,TXN000068,2025-01-18T07:05:00,7,Saturday,True,2.6311691567662523
ACCT100448,ACCT200064,33.0,withdrawal,gambling,pos_terminal,US,True,mule_account,TXN000069,2025-03-23T16:56:00,16,Sunday,False,3.4965075614664802
ACCT100154,ACCT200269,208.12,transfer,retail,mobile_app,SG,False,normal,TXN000070,2025-01-03T11:24:00,11,Friday,False,5.338114836422103
ACCT100001,ACCT200149,22.0,withdrawal,atm,pos_terminal,IR,True,normal,TXN000071,2025-01-11T17:18:00,17,Saturday,True,3.091042453358316
ACCT100422,ACCT200105,5.53,withdrawal,gambling,mobile_app,IR,True,structuring,TXN000072,2025-03-15T04:51:00,4,Saturday,True,1.7101878155342434
ACCT100479,ACCT200451,23.55,transfer,retail,atm,RU,True,mule_account,TXN000073,2025-03-09T22:03:00,22,Sunday,True,3.159125820462427
ACCT100030,ACCT200407,23.14,withdrawal,crypto_exchange,pos_terminal,AE,False,normal,TXN000074,2025-03-10T22:24:00,22,Monday,False,3.1415627217655304
ACCT100490,ACCT200468,60.31,deposit,retail,mobile_app,US,True,mule_account,TXN000075,2025-01-12T03:04:00,3,Sunday,False,4.099497927462895
ACCT100291,ACCT200159,18.51,withdrawal,online_services,web,RU,True,normal,TXN000076,2025-02-26T00:53:00,0,Wednesday,True,2.9183111265854063
ACCT100068,ACCT200047,7.58,withdrawal,restaurant,web,UK,False,normal,TXN000077,2025-01-24T00:26:00,0,Friday,False,2.0255131996542803
ACCT100057,ACCT200300,51.79,payment,travel,web,RU,True,normal,TXN000078,2025-01-20T15:00:00,15,Monday,True,3.9471970804358
ACCT100426,ACCT200181,13.12,payment,retail,web,IN,True,round_tripping,TXN000079,2025-03-13T07:34:00,7,Thursday,False,2.574137783515943
ACCT100324,ACCT200357,45.24,withdrawal,electronics,pos_terminal,NG,True,normal,TXN000080,2025-01-19T05:41:00,5,Sunday,True,3.81198165124792
ACCT100224,ACCT200165,33.0,transfer,crypto_exchange,atm,KY,True,normal,TXN000081,2025-01-26T11:16:00,11,Sunday,True,3.4965075614664802
ACCT100137,ACCT200058,158.86,payment,online_services,web,CN,False,normal,TXN000082,2025-03-11T19:43:00,19,Tuesday,False,5.068023311204986
ACCT100144,ACCT200437,12.69,payment,travel,pos_terminal,SG,False,normal,TXN000083,2025-03-15T15:45:00,15,Saturday,False,2.540814281726296
ACCT100423,ACCT200166,124.16,transfer,crypto_exchange,mobile_app,KY,True,structuring,TXN000084,2025-01-30T09:09:00,9,Thursday,True,4.821571056434909
ACCT100191,ACCT200082,388.32,transfer,online_services,web,SG,False,normal,TXN000085,2025-02-26T05:04:00,5,Wednesday,False,5.961829741978291
ACCT100178,ACCT200044,33.63,transfer,gambling,atm,UK,False,normal,TXN000086,2025-03-24T08:12:00,8,Monday,False,3.515418525752178
ACCT100051,ACCT200415,38.09,withdrawal,electronics,atm,IN,False,normal,TXN000087,2025-03-03T04:01:00,4,Monday,False,3.6399517804905126
ACCT100356,ACCT200327,29.1,deposit,electronics,mobile_app,UK,False,normal,TXN000088,2025-02-02T18:18:00,18,Sunday,False,3.370738174177447
ACCT100133,ACCT200489,48.03,withdrawal,gambling,web,US,True,rapid_movement,TXN000089,2025-03-26T07:14:00,7,Wednesday,False,3.871825815676733
ACCT100402,ACCT200339,43.14,payment,electronics,pos_terminal,CN,True,layering,TXN000090,2025-03-13T02:47:00,2,Thursday,False,3.76445064096101
ACCT100491,ACCT200264,25.74,deposit,gambling,pos_terminal,NG,True,normal,TXN000091,2025-02-24T05:51:00,5,Monday,True,3.2480462021679806
ACCT100045,ACCT200482,43.03,withdrawal,online_services,atm,KY,True,normal,TXN000092,2025-01-31T08:52:00,8,Friday,True,3.7618975468505083
ACCT100311,ACCT200312,21.28,withdrawal,crypto_exchange,atm,NG,True,normal,TXN000093,2025-02-08T07:58:00,7,Saturday,True,3.0577676644734435
ACCT100328,ACCT200232,59.12,transfer,retail,pos_terminal,CN,False,normal,TXN000094,2025-01-21T05:18:00,5,Tuesday,False,4.079569276639947
ACCT100001,ACCT200494,10.53,payment,gambling,web,UK,True,structuring,TXN000095,2025-02-13T05:40:00,5,Thursday,False,2.354228326145884
ACCT100382,ACCT200363,27.12,deposit,online_services,mobile_app,RU,True,rapid_movement,TXN000096,2025-01-06T13:06:00,13,Monday,True,3.3002714630721948
ACCT100127,ACCT200091,59.76,withdrawal,crypto_exchange,web,UK,False,normal,TXN000097,2025-03-16T11:58:00,11,Sunday,False,4.090336540824562
ACCT100417,ACCT200143,141.16,withdrawal,online_services,pos_terminal,SG,False,normal,TXN000098,2025-01-20T13:45:00,13,Monday,False,4.949893998807069
ACCT100486,ACCT200327,10.3,transfer,crypto_exchange,mobile_app,SG,False,normal,TXN000099,2025-03-14T16:56:00,16,Friday,False,2.33214389523559
ACCT100356,ACCT200122,108.16,payment,crypto_exchange,mobile_app,SG,False,normal,TXN000100,2025-02-20T12:20:00,12,Thursday,False,4.683611612294654
ACCT100406,ACCT200375,37.09,withdrawal,retail,mobile_app,CN,False,normal,TXN000101,2025-03-29T17:52:00,17,Saturday,False,3.6133473915014993
ACCT100246,ACCT200323,46.71,transfer,online_services,mobile_app,UK,False,normal,TXN000102,2025-01-07T07:19:00,7,Tuesday,False,3.8439582745140166
ACCT100441,ACCT200392,58.99,transfer,electronics,atm,NG,True,structuring,TXN000103,2025-03-31T20:44:00,20,Monday,True,4.077367938014984
ACCT100097,ACCT200306,50.63,withdrawal,atm,mobile_app,AE,True,structuring,TXN000104,2025-02-16T21:03:00,21,Sunday,False,3.924544285981818
ACCT100181,ACCT200134,201.42,deposit,restaurant,pos_terminal,US,True,structuring,TXN000105,2025-02-20T18:57:00,18,Thursday,False,5.305392280219999
ACCT100301,ACCT200298,32.53,transfer,atm,mobile_app,NG,True,normal,TXN000106,2025-01-05T03:03:00,3,Sunday,True,3.48216274048526
ACCT100279,ACCT200091,42.2,transfer,atm,web,IN,False,normal,TXN000107,2025-03-21T06:35:00,6,Friday,False,3.742420221041966
ACCT100104,ACCT200221,30.11,deposit,retail,atm,KY,True,layering,TXN000108,2025-02-28T07:31:00,7,Friday,True,3.4048573424936426
ACCT100258,ACCT200442,23.49,transfer,online_services,pos_terminal,IR,True,normal,TXN000109,2025-01-21T13:42:00,13,Tuesday,True,3.1565747986708215
ACCT100362,ACCT200184,16.16,transfer,atm,web,AE,True,rapid_movement,TXN000110,2025-01-25T16:10:00,16,Saturday,False,2.7825390530929495
ACCT100211,ACCT200029,87.76,payment,restaurant,pos_terminal,CN,False,normal,TXN000111,2025-02-19T06:24:00,6,Wednesday,False,4.474605815966975
ACCT100181,ACCT200282,40.01,deposit,gambling,mobile_app,UK,False,normal,TXN000112,2025-02-08T04:57:00,4,Saturday,False,3.6891294228691436
ACCT100253,ACCT200222,99.32,transfer,electronics,pos_terminal,CN,False,normal,TXN000113,2025-02-09T01:21:00,1,Sunday,False,4.598346960639966
ACCT100366,ACCT200438,22.5,deposit,travel,atm,NG,True,normal,TXN000114,2025-02-22T05:37:00,5,Saturday,True,3.1135153092103742
ACCT100447,ACCT200499,65.78,transfer,atm,pos_terminal,NG,True,round_tripping,TXN000115,2025-03-12T10:09:00,10,Wednesday,True,4.186315840760911
ACCT100293,ACCT200232,9.99,deposit,electronics,pos_terminal,KY,True,normal,TXN000116,2025-01-18T21:49:00,21,Saturday,True,2.301584592660462
ACCT100171,ACCT200436,13.38,payment,crypto_exchange,atm,CN,True,structuring,TXN000117,2025-01-13T22:36:00,22,Monday,False,2.5937610547000824
ACCT100188,ACCT200033,11.79,withdrawal,retail,pos_terminal,IR,True,normal,TXN000118,2025-01-04T09:02:00,9,Saturday,True,2.4672517145492794
ACCT100026,ACCT200066,10.41,withdrawal,crypto_exchange,pos_terminal,SG,False,normal,TXN000119,2025-01-27T05:27:00,5,Monday,False,2.3427668826268775
ACCT100493,ACCT200343,16.09,payment,retail,atm,KY,True,layering,TXN000120,2025-02-21T03:39:00,3,Friday,True,2.7781979610042917
ACCT100357,ACCT200340,61.29,withdrawal,crypto_exchange,web,KY,True,mule_account,TXN000121,2025-02-04T13:51:00,13,Tuesday,True,4.11561669749764
ACCT100239,ACCT200052,51.98,transfer,online_services,pos_terminal,CN,False,normal,TXN000122,2025-02-07T10:46:00,10,Friday,False,3.950859029213344
ACCT100121,ACCT200367,36.09,deposit,electronics,web,US,True,rapid_movement,TXN000123,2025-01-27T03:17:00,3,Monday,False,3.586015818654697
ACCT100469,ACCT200465,52.07,transfer,online_services,atm,CN,False,normal,TXN000124,2025-01-03T19:00:00,19,Friday,False,3.952588967174808
ACCT100131,ACCT200107,68.62,transfer,electronics,web,US,True,rapid_movement,TXN000125,2025-01-25T22:17:00,22,Saturday,False,4.228584037430304
ACCT100024,ACCT200483,9.98,payment,online_services,web,IR,True,normal,TXN000126,2025-03-25T13:17:00,13,Tuesday,True,2.300583090323373
ACCT100019,ACCT200294,18.27,deposit,atm,atm,SG,False,normal,TXN000127,2025-03-25T20:15:00,20,Tuesday,False,2.9052603703899154
ACCT100205,ACCT200090,66.52,payment,restaurant,web,IN,False,normal,TXN000128,2025-01-02T05:00:00,5,Thursday,False,4.197502654324727
ACCT100382,ACCT200207,97.45,withdrawal,crypto_exchange,mobile_app,RU,True,layering,TXN000129,2025-02-01T09:04:00,9,Saturday,True,4.57933942595357
ACCT100300,ACCT200102,23.01,payment,crypto_exchange,pos_terminal,CN,False,normal,TXN000130,2025-02-13T08:38:00,8,Thursday,False,3.1359289040472746
ACCT100093,ACCT200293,9.36,deposit,atm,pos_terminal,NG,True,normal,TXN000131,2025-03-05T15:49:00,15,Wednesday,True,2.2364452904895007
ACCT100167,ACCT200125,13.65,transfer,restaurant,pos_terminal,SG,False,normal,TXN000132,2025-01-25T21:26:00,21,Saturday,False,2.613739521630969
ACCT100275,ACCT200415,40.8,deposit,gambling,atm,CN,False,normal,TXN000133,2025-02-28T15:54:00,15,Friday,False,3.708682081410116
ACCT100099,ACCT200344,77.84,transfer,online_services,web,AE,False,normal,TXN000134,2025-03-28T04:01:00,4,Friday,False,4.354655437877749
ACCT100283,ACCT200152,82.75,payment,online_services,pos_terminal,IR,True,normal,TXN000135,2025-01-24T04:40:00,4,Friday,True,4.415824014257172
ACCT100265,ACCT200492,25.7,deposit,retail,mobile_app,US,False,normal,TXN000136,2025-01-12T12:04:00,12,Sunday,False,3.246490991901174
ACCT100155,ACCT200281,30.56,payment,crypto_exchange,mobile_app,AE,False,normal,TXN000137,2025-03-13T06:07:00,6,Thursday,False,3.4196919642983197
ACCT100421,ACCT200073,7.07,payment,restaurant,mobile_app,IR,True,layering,TXN000138,2025-01-10T18:37:00,18,Friday,True,1.9558604799084813
ACCT100251,ACCT200263,20.55,payment,electronics,atm,AE,False,normal,TXN000139,2025-01-06T09:54:00,9,Monday,False,3.022860940942244
ACCT100227,ACCT200084,42.52,deposit,travel,pos_terminal,KY,True,normal,TXN000140,2025-02-16T04:03:00,4,Sunday,True,3.749974553473747
ACCT100475,ACCT200010,36.41,transfer,electronics,mobile_app,CN,False,normal,TXN000141,2025-03-26T08:31:00,8,Wednesday,False,3.594843462187342
ACCT100305,ACCT200284,28.83,withdrawal,atm,pos_terminal,IN,False,normal,TXN000142,2025-01-26T18:57:00,18,Sunday,False,3.3614165116503107
ACCT100193,ACCT200212,29.71,transfer,atm,atm,CN,False,normal,TXN000143,2025-03-26T21:04:00,21,Wednesday,False,3.391483689474516
ACCT100162,ACCT200262,17.17,payment,restaurant,pos_terminal,IR,True,normal,TXN000144,2025-01-31T12:29:00,12,Friday,True,2.843163674909384
ACCT100440,ACCT200235,137.36,deposit,crypto_exchange,atm,NG,True,structuring,TXN000145,2025-02-24T22:33:00,22,Monday,True,4.92260521658922
ACCT100393,ACCT200483,78.46,payment,crypto_exchange,atm,IN,False,normal,TXN000146,2025-02-27T15:15:00,15,Thursday,False,4.362588940781406
ACCT100456,ACCT200424,53.06,withdrawal,restaurant,atm,RU,True,normal,TXN000147,2025-02-06T13:33:00,13,Thursday,True,3.971423348709594
ACCT100262,ACCT200320,27.1,transfer,crypto_exchange,pos_terminal,IR,True,mule_account,TXN000148,2025-02-12T17:18:00,17,Wednesday,True,3.299533727885655
ACCT100212,ACCT200011,56.55,payment,electronics,web,AE,False,normal,TXN000149,2025-01-16T03:42:00,3,Thursday,False,4.03512520256213
ACCT100059,ACCT200047,21.45,payment,atm,pos_terminal,NG,True,normal,TXN000150,2025-02-10T11:40:00,11,Monday,True,3.065724645374026
ACCT100179,ACCT200023,11.83,deposit,online_services,web,US,False,normal,TXN000151,2025-02-03T23:54:00,23,Monday,False,2.4706386779902956
ACCT100251,ACCT200324,17.14,withdrawal,gambling,pos_terminal,UK,False,normal,TXN000152,2025-01-25T01:03:00,1,Saturday,False,2.8414149131696336
ACCT100415,ACCT200403,25.0,transfer,electronics,web,IN,False,normal,TXN000153,2025-03-15T11:51:00,11,Saturday,False,3.2188758248682006
ACCT100021,ACCT200134,28.27,withdrawal,crypto_exchange,mobile_app,SG,False,normal,TXN000154,2025-02-14T18:40:00,18,Friday,False,3.341801171705499
ACCT100061,ACCT200155,7.38,deposit,electronics,web,US,False,normal,TXN000155,2025-02-02T10:01:00,10,Sunday,False,1.998773638612381
ACCT100293,ACCT200012,16.75,deposit,retail,atm,KY,True,structuring,TXN000156,2025-03-05T14:37:00,14,Wednesday,True,2.8183982582710754
ACCT100340,ACCT200078,8.58,withdrawal,electronics,mobile_app,IN,False,normal,TXN000157,2025-01-15T06:57:00,6,Wednesday,False,2.149433913499871
ACCT100171,ACCT200032,13.19,transfer,restaurant,web,KY,True,mule_account,TXN000158,2025-03-13T18:28:00,18,Thursday,True,2.579458966729223
ACCT100446,ACCT200278,133.37,deposit,travel,atm,KY,True,mule_account,TXN000159,2025-03-06T20:20:00,20,Thursday,True,4.8931272206343035
ACCT100171,ACCT200339,9.79,payment,travel,atm,UK,False,normal,TXN000160,2025-01-25T16:35:00,16,Saturday,False,2.281361456542419
ACCT100220,ACCT200243,16.57,deposit,electronics,atm,SG,True,round_tripping,TXN000161,2025-01-17T16:33:00,16,Friday,False,2.8075938314384716
ACCT100131,ACCT200174,13.56,withdrawal,crypto_exchange,pos_terminal,AE,True,mule_account,TXN000162,2025-03-12T16:32:00,16,Wednesday,False,2.6071242825122494
ACCT100044,ACCT200414,67.89,transfer,retail,pos_terminal,KY,True,normal,TXN000163,2025-01-19T04:46:00,4,Sunday,True,4.217888748313555
ACCT100327,ACCT200095,138.03,payment,restaurant,atm,AE,True,round_tripping,TXN000164,2025-01-21T09:36:00,9,Tuesday,False,4.927471052835487
ACCT100472,ACCT200327,20.6,transfer,electronics,mobile_app,NG,True,normal,TXN000165,2025-03-05T14:52:00,14,Wednesday,True,3.0252910757955354
ACCT100487,ACCT200307,65.23,transfer,atm,mobile_app,AE,True,structuring,TXN000166,2025-01-14T22:25:00,22,Tuesday,False,4.177919485808005
ACCT100379,ACCT200128,9.71,transfer,restaurant,pos_terminal,IN,False,normal,TXN000167,2025-03-13T12:47:00,12,Thursday,False,2.2731562823032334
ACCT100144,ACCT200114,48.11,payment,restaurant,web,NG,True,normal,TXN000168,2025-01-21T04:30:00,4,Tuesday,True,3.8734900557113625
ACCT100269,ACCT200252,19.56,payment,travel,atm,IN,False,normal,TXN000169,2025-02-08T09:12:00,9,Saturday,False,2.9734866646066713
ACCT100394,ACCT200366,22.36,transfer,restaurant,mobile_app,IN,False,normal,TXN000170,2025-01-29T18:34:00,18,Wednesday,False,3.1072736482868986
ACCT100145,ACCT200091,25.07,withdrawal,gambling,atm,UK,False,normal,TXN000171,2025-03-11T01:46:00,1,Tuesday,False,3.221671912170202
ACCT100463,ACCT200121,60.4,withdrawal,travel,pos_terminal,UK,False,normal,TXN000172,2025-01-11T10:23:00,10,Saturday,False,4.100989104940769
ACCT100164,ACCT200475,366.76,withdrawal,crypto_exchange,atm,NG,True,normal,TXN000173,2025-02-06T22:31:00,22,Thursday,True,5.9047076831817
ACCT100138,ACCT200444,12.54,payment,atm,web,UK,False,normal,TXN000174,2025-01-16T04:30:00,4,Thursday,False,2.5289235352047745
ACCT100198,ACCT200240,3.67,deposit,restaurant,mobile_app,SG,False,normal,TXN000175,2025-03-04T04:35:00,4,Tuesday,False,1.3001916620664788
ACCT100075,ACCT200257,10.7,transfer,atm,mobile_app,KY,True,normal,TXN000176,2025-01-19T11:11:00,11,Sunday,True,2.3702437414678603
ACCT100231,ACCT200378,10.0,transfer,online_services,atm,KY,True,normal,TXN000177,2025-02-02T01:48:00,1,Sunday,True,2.302585092994046
ACCT100090,ACCT200224,31.07,transfer,crypto_exchange,mobile_app,UK,False,normal,TXN000178,2025-03-29T21:59:00,21,Saturday,False,3.436242723404956
ACCT100399,ACCT200330,18.83,payment,travel,atm,AE,False,normal,TXN000179,2025-01-17T18:25:00,18,Friday,False,2.935451342669061
ACCT100267,ACCT200398,28.56,withdrawal,crypto_exchange,pos_terminal,NG,True,normal,TXN000180,2025-02-15T07:09:00,7,Saturday,True,3.3520071374713836
ACCT100096,ACCT200268,26.87,transfer,crypto_exchange,atm,UK,True,rapid_movement,TXN000181,2025-01-30T06:08:00,6,Thursday,False,3.2910104226273997
ACCT100452,ACCT200018,105.58,withdrawal,online_services,pos_terminal,US,True,structuring,TXN000182,2025-01-15T18:09:00,18,Wednesday,False,4.65946895939547
