account_id,in_degree,out_degree,in_strength,out_strength,tx_sent,tx_received,in_out_ratio,strength_ratio,pagerank,betweenness_centrality,clustering_coefficient
A1739,120,105,65839.83,46054.21,105,120,1.1321,1.4296,0.00059268,0.00018807,0.094197
A614,118,87,44739.16,30950.55,87,118,1.3409,1.4455,0.00059204,0.00037818,0.094236
A1616,120,108,44770.89,41311.01,108,120,1.1009,1.0838,0.00059197,0.00058695,0.095185
A53,121,95,49672.29,37132.18,95,121,1.2604,1.3377,0.00059167,0.0002774,0.098638
A1658,120,95,43911.07,40575.8,95,120,1.25,1.0822,0.00059145,0.00058954,0.09423
A947,118,74,47241.99,36004.54,74,118,1.5733,1.3121,0.00059142,0.00037258,0.093772
A1634,123,104,53150.09,41936.15,104,123,1.1714,1.2674,0.00059045,0.00062186,0.098153
A1618,124,116,72709.21,67566.41,116,124,1.0598,1.0761,0.00059025,0.00093015,0.098943
A1458,120,98,46998.97,45574.15,98,120,1.2121,1.0313,0.00059022,0.00038826,0.097561
A971,120,96,66224.02,31876.22,96,120,1.2371,2.0775,0.00058894,0.00029827,0.098183
A874,120,101,51302.78,41304.4,101,120,1.1765,1.2421,0.00058886,0.00081491,0.096384
A1951,121,106,43893.57,37145.13,106,121,1.1308,1.1817,0.0005885,0.00049047,0.093117
A837,116,96,49294.29,38655.05,96,116,1.1959,1.2752,0.00058809,0.00062228,0.097603
A1781,121,101,54316.13,42079.14,101,121,1.1863,1.2908,0.00058764,0.00082782,0.095323
A1694,121,102,50248.43,39756.37,102,121,1.1748,1.2639,0.00058746,0.0007809,0.096476
A1020,123,101,53873.12,40448.7,101,123,1.2059,1.3319,0.00058742,0.00044059,0.096023
A177,119,89,42680.41,38110.35,89,119,1.3222,1.1199,0.00058701,0.00070724,0.094562
A620,122,94,60675.62,39165.31,94,122,1.2842,1.5492,0.00058657,0.00036537,0.09901
A421,118,106,48537.91,39423.69,106,118,1.1028,1.2312,0.00058599,0.00032424,0.095509
A1921,123,112,46873.38,47692.43,112,123,1.0885,0.9828,0.00058553,0.00040226,0.09856
A1945,119,101,49284.57,39303.08,101,119,1.1667,1.254,0.00058544,0.00040616,0.094027
A397,122,74,50491.35,27906.95,74,122,1.6267,1.8093,0.00058497,0.00048926,0.093842
A1138,123,82,44728.53,29536.16,82,123,1.4819,1.5144,0.00058457,0.00044344,0.094722
A1809,120,103,46973.24,44230.58,103,120,1.1538,1.062,0.00058403,0.00081997,0.095189
A1266,118,102,46386.48,38751.22,102,118,1.1456,1.197,0.00058384,0.00028547,0.092458
A938,121,93,45337.12,40910.02,93,121,1.2872,1.1082,0.00058327,0.00035903,0.095288
A1210,120,109,51490.68,44151.51,109,120,1.0909,1.1662,0.00058277,0.00097392,0.093068
A534,117,99,40887.45,38685.67,99,117,1.17,1.0569,0.00058268,0.00056542,0.098025
A1797,121,98,53161.72,44291.81,98,121,1.2222,1.2003,0.00058177,0.00081635,0.097454
A106,120,99,52204.42,42434.34,99,120,1.2,1.2302,0.00058155,0.00074557,0.096083
A1019,121,97,45540.05,36709.76,97,121,1.2347,1.2405,0.00058102,0.00080795,0.096798
A1387,117,91,43102.59,35186.09,91,117,1.2717,1.225,0.00058077,0.0004483,0.095879
A1065,118,99,44499.4,39095.7,99,118,1.18,1.1382,0.00058072,0.00085884,0.094919
A56,119,86,45722.09,33392.16,86,119,1.3678,1.3692,0.00058011,0.00049108,0.096231
A1845,117,98,45462.69,41040.36,98,117,1.1818,1.1078,0.00058005,0.00091989,0.093161
A828,121,105,47197.09,43833.3,105,121,1.1415,1.0767,0.00057987,0.00075877,0.092194
A512,118,108,50004.45,50205.44,108,118,1.0826,0.996,0.00057976,0.00072565,0.094516
A1578,121,104,48266.18,39357.09,104,121,1.1524,1.2264,0.00057907,0.00030056,0.095564
A1325,119,88,51455.82,43708.32,88,119,1.3371,1.1773,0.0005789,0.00048491,0.093638
A1189,117,105,50033.8,40842.16,105,117,1.1038,1.2251,0.00057883,0.00105967,0.096173
A925,117,106,42869.38,39275.29,106,117,1.0935,1.0915,0.00057828,0.00060788,0.094919
A717,120,98,54595.62,34151.04,98,120,1.2121,1.5987,0.00057821,0.00129074,0.091215
A842,118,102,49010.9,40289.05,102,118,1.1456,1.2165,0.00057792,0.00071882,0.096709
A607,116,103,44645.24,39029.53,103,116,1.1154,1.1439,0.00057788,0.00069008,0.101151
A166,121,90,42358.33,34179.53,90,121,1.3297,1.2393,0.00057753,0.00085418,0.093367
A1345,119,84,51037.0,31003.08,84,119,1.4,1.6462,0.00057752,0.00018631,0.091807
A475,122,104,50476.72,43769.92,104,122,1.1619,1.1532,0.00057728,0.00059131,0.097226
A1079,117,106,42973.65,44234.39,106,117,1.0935,0.9715,0.00057676,0.00038719,0.096592
A1881,125,113,51241.76,51601.01,113,125,1.0965,0.993,0.00057666,0.00066035,0.096503
A91,121,122,41012.74,45967.71,122,121,0.9837,0.8922,0.00057621,0.000733,0.093135
A679,120,101,64602.42,55558.92,101,120,1.1765,1.1628,0.00057562,0.0010356,0.099248
A369,119,91,45988.35,33683.83,91,119,1.2935,1.3653,0.00057556,0.00041643,0.094171
A1231,120,105,48105.01,41963.7,105,120,1.1321,1.1463,0.00057539,0.00048418,0.097805
A1170,113,102,43546.58,45661.39,102,113,1.0971,0.9537,0.00057497,0.00063362,0.095238
A1679,117,83,43915.35,32265.75,83,117,1.3929,1.3611,0.00057491,0.00042743,0.094813
A1981,116,97,48187.05,35645.23,97,116,1.1837,1.3519,0.00057444,0.00035822,0.096864
A1817,117,109,48162.43,47034.96,109,117,1.0636,1.024,0.00057338,0.00053967,0.095558
A260,115,94,47199.02,37024.23,94,115,1.2105,1.2748,0.00057332,0.0003958,0.094852
A1974,119,91,47993.37,36273.52,91,119,1.2935,1.3231,0.00057262,0.00071524,0.094975
A140,120,78,52709.47,31497.71,78,120,1.519,1.6734,0.00057246,0.00022431,0.094337
A1168,118,104,49255.93,44293.63,104,118,1.1238,1.112,0.00057232,0.00111863,0.094056
A568,124,105,56069.52,44561.1,105,124,1.1698,1.2583,0.00057197,0.00061313,0.093669
A1372,117,116,47126.19,46960.97,116,117,1.0,1.0035,0.00057179,0.00062325,0.092528
A653,118,101,48897.17,38430.52,101,118,1.1569,1.2724,0.00057133,0.0005377,0.092998
A1889,120,90,46755.25,37111.98,90,120,1.3187,1.2598,0.00057126,0.00011718,0.097236
A84,116,78,52558.92,28099.19,78,116,1.4684,1.8705,0.00057117,0.00036974,0.095062
A1195,115,108,37691.99,42036.12,108,115,1.055,0.8967,0.00057102,0.00075158,0.095718
A1489,116,111,45186.1,52125.44,111,116,1.0357,0.8669,0.00057091,0.00053791,0.09511
A1543,119,83,46043.18,27269.05,83,119,1.4167,1.6885,0.0005709,0.00058811,0.095453
A1493,114,112,46547.92,52103.6,112,114,1.0088,0.8934,0.00057041,0.0005598,0.096134
A668,116,101,43015.45,42055.72,101,116,1.1373,1.0228,0.00057031,0.00040363,0.095193
A1234,119,107,44649.99,43170.25,107,119,1.1019,1.0343,0.00057019,0.00051696,0.094697
A0,118,85,46692.62,34284.15,85,118,1.3721,1.3619,0.00057,0.00070385,0.096139
A838,114,97,42304.1,37476.92,97,114,1.1633,1.1288,0.00056922,0.00011359,0.096447
A1711,115,114,43968.34,50209.55,114,115,1.0,0.8757,0.0005692,0.00069608,0.099124
A1322,119,104,48274.96,42164.45,104,119,1.1333,1.1449,0.00056892,0.00053369,0.094646
A117,115,89,43061.89,39079.83,89,115,1.2778,1.1019,0.00056856,0.00058612,0.093145
A1056,118,100,44666.58,41488.79,100,118,1.1683,1.0766,0.00056848,0.00029181,0.096365
A834,118,109,56180.37,45121.21,109,118,1.0727,1.2451,0.00056848,0.00056754,0.09411
A1647,116,106,44337.56,47975.89,106,116,1.0841,0.9242,0.00056847,0.00058011,0.098804
A558,113,104,45993.22,42494.28,104,113,1.0762,1.0823,0.00056781,0.00051179,0.093506
A907,114,96,50363.61,38047.18,96,114,1.1753,1.3237,0.00056776,0.00056976,0.093752
A431,112,105,42633.98,42844.74,105,112,1.0566,0.9951,0.00056754,0.0007413,0.095761
A483,116,97,50490.92,35429.75,97,116,1.1837,1.4251,0.00056711,0.00037032,0.094396
A205,115,84,45153.12,28241.03,84,115,1.3529,1.5988,0.00056708,0.00031752,0.094568
A720,114,115,73305.65,45503.8,115,114,0.9828,1.611,0.00056689,0.00054578,0.096774
A85,120,97,47789.22,37836.35,97,120,1.2245,1.2631,0.00056658,0.00126886,0.097944
A1743,117,89,50442.09,35238.48,89,117,1.3,1.4314,0.00056653,0.00060208,0.096826
A1500,118,98,58928.97,38480.64,98,118,1.1919,1.5314,0.00056644,0.00074041,0.094677
A1925,115,102,41507.0,37837.65,102,115,1.1165,1.097,0.00056607,0.00065807,0.095026
A1542,116,99,44013.38,36844.28,99,116,1.16,1.1946,0.00056589,0.00047793,0.096796
A1976,114,107,41918.47,40518.68,107,114,1.0556,1.0345,0.00056575,0.00062082,0.092789
A1289,117,84,46364.57,32527.05,84,117,1.3765,1.4254,0.0005657,0.00035427,0.091861
A1717,121,94,48226.37,37507.28,94,121,1.2737,1.2858,0.00056504,0.00067103,0.094478
A1783,115,90,59639.92,42252.07,90,115,1.2637,1.4115,0.00056487,0.00029076,0.098881
A486,116,95,42883.13,36645.57,95,116,1.2083,1.1702,0.00056443,0.00057364,0.095276
A73,114,108,45530.41,44346.97,108,114,1.0459,1.0267,0.00056431,0.00042632,0.092413
A788,113,113,71641.64,73898.6,113,113,0.9912,0.9695,0.0005643,0.00059537,0.093239
A1044,112,106,44840.31,42688.78,106,112,1.0467,1.0504,0.00056401,0.00074517,0.096288
A1122,115,108,48407.57,43706.95,108,115,1.055,1.1075,0.00056398,0.00064532,0.09682
A1167,113,103,43105.89,41520.57,103,113,1.0865,1.0382,0.00056362,0.00018022,0.092922
A567,115,99,42059.62,41870.66,99,115,1.15,1.0045,0.00056342,0.00049398,0.094883
A983,118,109,44758.17,45163.7,109,118,1.0727,0.991,0.00056337,0.00042207,0.094143
A1496,113,108,46029.74,43165.69,108,113,1.0367,1.0664,0.00056318,0.00022843,0.093476
A1998,114,105,46210.97,40770.11,105,114,1.0755,1.1335,0.00056313,0.00063779,0.094818
A286,113,109,43619.76,42246.22,109,113,1.0273,1.0325,0.00056311,0.00123042,0.095815
A276,115,109,49210.55,44467.13,109,115,1.0455,1.1067,0.00056269,0.00049776,0.096327
A892,114,81,42551.91,32485.93,81,114,1.3902,1.3099,0.00056268,0.00065705,0.094322
A1792,116,105,43492.87,33566.51,105,116,1.0943,1.2957,0.00056265,0.00064834,0.094787
A777,116,83,45585.36,36026.55,83,116,1.381,1.2653,0.0005624,0.00072639,0.096695
A645,115,111,47078.78,47451.46,111,115,1.0268,0.9921,0.00056216,0.00063571,0.091594
A590,112,93,48963.69,38327.62,93,112,1.1915,1.2775,0.00056215,0.00064523,0.097575
A767,114,94,41936.61,37726.02,94,114,1.2,1.1116,0.0005617,0.00076917,0.092312
A1176,118,106,45251.43,47392.94,106,118,1.1028,0.9548,0.00056112,0.00050368,0.093643
A990,113,88,46543.83,31688.48,88,113,1.2697,1.4688,0.00056108,0.00075492,0.096029
A381,113,97,50534.24,37754.45,97,113,1.1531,1.3385,0.00056104,0.00043355,0.094976
A1450,117,79,57248.47,43380.08,79,117,1.4625,1.3197,0.00056086,0.00048274,0.092047
A1532,112,116,51127.01,56708.53,116,112,0.9573,0.9016,0.00056078,0.00095738,0.09809
A1214,113,85,43210.15,37307.46,85,113,1.314,1.1582,0.0005605,0.00016257,0.096645
A386,114,114,44068.98,42854.44,114,114,0.9913,1.0283,0.0005604,0.00069138,0.09744
A803,117,99,50918.92,36855.44,99,117,1.17,1.3816,0.00056024,0.00070989,0.096376
A391,118,94,48595.16,41490.34,94,118,1.2421,1.1712,0.00056019,0.00066432,0.093547
A1692,113,87,46239.82,37929.17,87,113,1.2841,1.2191,0.00055931,0.00046567,0.094406
A911,116,92,51765.09,37587.21,92,116,1.2473,1.3772,0.00055921,0.00027749,0.092005
A1964,116,110,47683.73,40684.33,110,116,1.045,1.172,0.00055918,0.00019065,0.095494
A1104,115,106,43087.98,45608.2,106,115,1.0748,0.9447,0.00055907,0.00039875,0.096947
A1264,116,89,44945.48,33469.91,89,116,1.2889,1.3429,0.00055906,0.00061576,0.092988
A1758,113,107,47113.7,45007.71,107,113,1.0463,1.0468,0.00055866,0.00057111,0.093255
A1028,114,93,59352.68,34440.16,93,114,1.2128,1.7234,0.00055821,0.00029244,0.097523
A1173,115,102,51573.11,41685.86,102,115,1.1165,1.2372,0.00055818,0.00061192,0.093535
A136,111,105,44686.67,42119.12,105,111,1.0472,1.061,0.00055808,0.00067595,0.096661
A1916,113,90,41535.69,40467.55,90,113,1.2418,1.0264,0.00055791,0.00029379,0.096469
A427,118,96,43722.58,39648.66,96,118,1.2165,1.1028,0.0005579,0.000482,0.095286
A1565,113,113,42969.34,44416.97,113,113,0.9912,0.9674,0.00055787,0.00058112,0.096864
A1898,113,100,43226.71,43309.62,100,113,1.1188,0.9981,0.00055775,0.00025927,0.09369
A1194,112,91,42088.22,36465.04,91,112,1.2174,1.1542,0.00055766,0.00042667,0.093407
A1392,111,89,43172.83,40026.24,89,111,1.2333,1.0786,0.0005575,0.00048534,0.094841
A1463,113,104,41290.3,39393.74,104,113,1.0762,1.0481,0.00055724,0.00042189,0.091783
A439,111,103,46753.1,40658.75,103,111,1.0673,1.1499,0.00055705,0.00052948,0.096478
A1058,116,105,48101.98,40492.64,105,116,1.0943,1.1879,0.00055694,0.00050621,0.096549
A239,112,97,41223.23,42477.67,97,112,1.1429,0.9705,0.00055694,0.00084596,0.09629
A1166,114,111,44087.92,41348.12,111,114,1.0179,1.0663,0.00055692,0.000413,0.096833
A487,114,93,54947.32,49782.87,93,114,1.2128,1.1037,0.00055679,0.00061791,0.097011
A891,115,85,45797.69,29662.11,85,115,1.3372,1.544,0.00055668,0.00055218,0.091714
A1236,115,92,47195.19,39078.55,92,115,1.2366,1.2077,0.00055658,0.00077493,0.095773
A946,117,108,45288.24,41734.6,108,117,1.0734,1.0851,0.00055637,0.00084541,0.097972
A1571,115,104,45558.53,43751.91,104,115,1.0952,1.0413,0.00055622,0.00032869,0.097222
A1476,111,106,42425.15,40003.47,106,111,1.0374,1.0605,0.00055608,0.00054259,0.09794
A1474,110,108,43787.13,41703.62,108,110,1.0092,1.05,0.00055592,0.00073517,0.094667
A441,112,103,44275.89,66580.31,103,112,1.0769,0.665,0.00055589,0.00020212,0.096525
A249,111,92,41577.74,42085.5,92,111,1.1935,0.9879,0.00055579,0.0005041,0.098715
A830,110,108,41169.78,46074.04,108,110,1.0092,0.8936,0.00055578,0.00070192,0.092778
A1940,109,102,45366.56,44210.53,102,109,1.0583,1.0261,0.00055572,0.00046639,0.094726
A1995,114,98,46981.17,35951.33,98,114,1.1515,1.3068,0.00055568,0.00049157,0.09529
A1362,113,97,41691.75,39651.86,97,113,1.1531,1.0514,0.00055563,0.00049614,0.095495
A292,117,88,44676.08,36877.49,88,117,1.3146,1.2115,0.00055562,0.00061975,0.097751
A1718,111,110,43806.26,41336.33,110,111,1.0,1.0598,0.00055537,0.00138623,0.095762
A1018,114,98,45606.67,40576.07,98,114,1.1515,1.124,0.00055529,0.00068362,0.098665
A1713,108,88,40667.4,34345.99,88,108,1.2135,1.1841,0.00055519,0.00049783,0.098589
A1919,109,114,42640.22,45245.55,114,109,0.9478,0.9424,0.00055514,0.00101867,0.093643
A4,112,105,42046.78,44083.42,105,112,1.0566,0.9538,0.00055497,0.00064503,0.093568
A1530,111,77,49205.64,30974.46,77,111,1.4231,1.5886,0.00055492,0.00021183,0.094998
A1911,112,113,45898.67,45099.39,113,112,0.9825,1.0177,0.0005549,0.00043287,0.098082
A1949,110,76,41353.82,34429.26,76,110,1.4286,1.2011,0.00055477,0.00053117,0.093961
A193,112,114,45614.31,43724.97,114,112,0.9739,1.0432,0.00055465,0.00080921,0.097282
A709,115,108,56191.72,39073.7,108,115,1.055,1.4381,0.00055451,0.00076283,0.100429
A1652,112,98,45861.27,39280.43,98,112,1.1313,1.1675,0.00055442,0.00107899,0.094158
A61,112,92,41330.88,36314.29,92,112,1.2043,1.1381,0.00055439,0.0003535,0.098713
A1388,112,109,42651.98,45847.85,109,112,1.0182,0.9303,0.00055438,9.8e-05,0.093974
A1930,111,96,40637.88,35657.22,96,111,1.1443,1.1397,0.00055437,0.00020128,0.094505
A324,111,130,61490.57,68093.96,130,111,0.8473,0.903,0.00055431,0.00069574,0.095124
A1637,110,100,42663.36,41556.31,100,110,1.0891,1.0266,0.00055429,0.00054468,0.091987
A465,109,103,41675.29,45988.08,103,109,1.0481,0.9062,0.00055429,0.00054262,0.096413
A89,115,104,54134.5,43743.13,104,115,1.0952,1.2376,0.00055424,0.00064965,0.097269
A1967,113,95,40836.9,38742.95,95,113,1.1771,1.054,0.00055418,0.00077197,0.096652
A779,110,81,46342.54,31184.46,81,110,1.3415,1.4861,0.0005541,0.00011256,0.095391
A1420,114,106,43732.49,38258.73,106,114,1.0654,1.1431,0.00055409,0.00049513,0.097122
A305,113,101,44338.76,40114.86,101,113,1.1078,1.1053,0.00055406,0.00110813,0.095619
A900,115,121,40772.75,48954.85,121,115,0.9426,0.8329,0.00055369,0.00043412,0.096503
A290,111,89,40742.07,36759.82,89,111,1.2333,1.1083,0.00055307,0.00017077,0.095533
A600,114,102,42817.26,38397.14,102,114,1.1068,1.1151,0.00055296,0.00062991,0.094861
A669,118,107,46165.2,42323.45,107,118,1.0926,1.0908,0.00055267,0.0005029,0.096384
A161,114,111,45933.49,46781.75,111,114,1.0179,0.9819,0.00055241,0.00030212,0.094099
A1593,110,120,43461.28,47561.47,120,110,0.9091,0.9138,0.00055221,0.00044086,0.093857
A463,109,107,44832.92,42055.09,107,109,1.0093,1.0661,0.00055219,0.00073216,0.096386
A1209,116,117,45793.89,50363.86,117,116,0.9831,0.9093,0.00055198,0.00035178,0.095379
A629,112,101,44977.92,44189.42,101,112,1.098,1.0178,0.00055159,0.00027484,0.095071
A297,111,103,48967.68,41816.76,103,111,1.0673,1.171,0.00055151,0.00058004,0.095146
A1801,117,94,48963.49,39749.45,94,117,1.2316,1.2318,0.00055135,0.00038235,0.093083
A1134,111,98,46615.01,42876.0,98,111,1.1212,1.0872,0.00055102,0.00010125,0.095215
A1939,114,105,44579.51,40612.6,105,114,1.0755,1.0977,0.000551,0.00031544,0.092157
A65,112,106,42886.49,39653.79,106,112,1.0467,1.0815,0.00055075,0.00060396,0.096318
A1135,111,79,43940.27,34143.59,79,111,1.3875,1.2869,0.00055069,0.00032801,0.092832
A798,110,107,38159.39,45633.4,107,110,1.0185,0.8362,0.00055064,0.000209,0.09688
A1203,115,93,44239.52,38617.38,93,115,1.2234,1.1456,0.00055063,0.00078963,0.096075
A966,108,94,41530.1,39519.84,94,108,1.1368,1.0509,0.00055046,0.00029429,0.092614
A1520,110,94,49746.14,37387.39,94,110,1.1579,1.3306,0.00055041,0.00033292,0.095369
A1585,110,112,82870.67,72136.88,112,110,0.9735,1.1488,0.00055018,0.00080934,0.098792
A688,111,104,50488.47,45530.2,104,111,1.0571,1.1089,0.00054998,0.00104236,0.092606
A1468,111,108,47767.13,42023.63,108,111,1.0183,1.1367,0.00054993,0.00066229,0.092351
A1589,109,107,49618.38,43264.19,107,109,1.0093,1.1469,0.00054988,0.00061564,0.094341
A1336,116,107,46674.86,42746.81,107,116,1.0741,1.0919,0.0005498,0.00080782,0.097513
A1130,112,100,37726.65,40635.39,100,112,1.1089,0.9284,0.00054976,0.00044169,0.096242
A462,110,87,46252.86,36496.6,87,110,1.25,1.2673,0.00054951,0.00043448,0.095069
A768,115,91,43334.14,38040.85,91,115,1.25,1.1391,0.00054938,0.00047892,0.09495
A484,110,107,47196.11,41040.25,107,110,1.0185,1.15,0.00054938,0.00090457,0.094388
A939,112,112,42566.42,41912.12,112,112,0.9912,1.0156,0.00054912,0.00080778,0.09843
A1110,113,107,43895.97,46346.91,107,113,1.0463,0.9471,0.000549,0.00099349,0.093433
A1470,110,107,40512.02,44479.65,107,110,1.0185,0.9108,0.00054886,0.00073533,0.095903
A1457,113,84,47527.32,34038.77,84,113,1.3294,1.3963,0.00054884,0.00034298,0.096799
A1841,112,113,45999.89,42778.73,113,112,0.9825,1.0753,0.00054883,0.00010697,0.093971
A1712,114,91,49920.81,36240.5,91,114,1.2391,1.3775,0.00054881,0.0006934,0.09655
A610,109,104,66958.28,63867.81,104,109,1.0381,1.0484,0.00054875,0.00056812,0.094789
A1803,111,98,46048.9,36588.0,98,111,1.1212,1.2586,0.00054875,0.00052721,0.093244
A726,110,96,43951.16,39680.66,96,110,1.134,1.1076,0.00054872,0.00064259,0.09806
A194,114,113,42628.8,44545.63,113,114,1.0,0.957,0.00054865,0.00032928,0.097056
A942,113,100,43261.6,40163.91,100,113,1.1188,1.0771,0.00054856,0.00056216,0.098271
A1800,112,88,45141.79,34288.48,88,112,1.2584,1.3165,0.00054843,0.00040234,0.097466
A1403,114,86,47263.11,32097.99,86,114,1.3103,1.4725,0.00054838,0.0004835,0.096314
A1723,111,86,45028.58,36858.12,86,111,1.2759,1.2217,0.00054838,0.00057828,0.097004
A921,115,103,61800.0,69660.74,103,115,1.1058,0.8872,0.00054816,0.00076194,0.097653
A1816,115,110,46397.5,44615.41,110,115,1.036,1.0399,0.00054811,0.00057155,0.095868
A1440,111,108,42895.72,46261.22,108,111,1.0183,0.9273,0.00054803,0.00062286,0.096525
A1612,111,96,44955.04,34878.98,96,111,1.1443,1.2889,0.00054801,0.00017827,0.098064
A840,113,112,46790.68,44313.56,112,113,1.0,1.0559,0.000548,0.00058158,0.095963
A690,113,109,44890.31,48844.61,109,113,1.0273,0.919,0.00054786,0.00081256,0.09629
A146,112,98,45949.84,39054.48,98,112,1.1313,1.1766,0.00054783,0.00056523,0.091832
A707,107,118,43529.84,48684.92,118,107,0.8992,0.8941,0.00054768,0.00130615,0.097086
A87,109,118,39648.37,44738.07,118,109,0.916,0.8862,0.00054768,0.00073746,0.096529
A1830,112,103,54098.13,46259.61,103,112,1.0769,1.1694,0.00054745,0.0007493,0.099295
A341,113,115,39510.68,47450.41,115,113,0.9741,0.8327,0.00054741,0.00050675,0.093893
A258,110,88,47041.45,36706.06,88,110,1.236,1.2816,0.00054715,0.00034409,0.093177
A1364,111,94,48444.27,35683.92,94,111,1.1684,1.3576,0.00054711,0.00072307,0.099039
A1583,109,80,41080.16,31606.1,80,109,1.3457,1.2998,0.00054708,0.00025315,0.092572
A333,113,103,45039.03,37609.11,103,113,1.0865,1.1976,0.00054705,0.00051974,0.092669
A1304,115,106,57136.3,53567.39,106,115,1.0748,1.0666,0.00054691,0.00055912,0.096377
A516,111,86,43014.22,37548.27,86,111,1.2759,1.1456,0.00054688,0.00094863,0.094948
A689,113,84,39925.31,31064.24,84,113,1.3294,1.2852,0.00054685,0.0003178,0.097577
A1746,114,97,45626.87,37575.86,97,114,1.1633,1.2143,0.00054679,0.00048928,0.092147
A862,112,92,46415.38,38660.75,92,112,1.2043,1.2006,0.00054672,0.00086587,0.096859
